Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T01:13:45.782Z,1628644425.782,0.000000 m,nan,0.000000 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.702535 arcdeg,-0.055844 arcdeg,0.000000 arcdeg,9.000000 arcdeg
2021-08-11T01:13:47.754Z,1628644427.754,0.000000 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.015345 arcdeg,4.736284 arcdeg,-0.056134 arcdeg,0.015345 arcdeg,9.000000 arcdeg
2021-08-11T01:13:48.155Z,1628644428.155,-0.000199 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,3.021075 arcdeg,4.736284 arcdeg,-0.191773 arcdeg,3.021075 arcdeg,9.000000 arcdeg
2021-08-11T01:13:48.556Z,1628644428.556,-0.000536 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,4.736284 arcdeg,4.736284 arcdeg,-0.389812 arcdeg,6.028395 arcdeg,9.000000 arcdeg
2021-08-11T01:13:48.958Z,1628644428.958,-0.001479 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.624333 arcdeg,4.736284 arcdeg,-0.629896 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:49.359Z,1628644429.359,-0.003065 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-0.887325 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:49.760Z,1628644429.760,-0.005355 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-1.155624 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:50.161Z,1628644430.161,-0.008356 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-1.443033 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:50.562Z,1628644430.562,-0.011996 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-1.765119 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:50.963Z,1628644430.963,-0.016188 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-2.130954 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:51.364Z,1628644431.364,-0.020757 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-2.538924 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:51.764Z,1628644431.764,-0.025684 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-2.979373 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:52.166Z,1628644432.166,-0.030951 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-3.439527 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:52.567Z,1628644432.567,-0.036326 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-3.908641 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:52.968Z,1628644432.968,-0.041858 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-4.381389 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:53.369Z,1628644433.369,-0.047520 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-4.854756 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:53.770Z,1628644433.770,-0.053358 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-5.330514 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:54.171Z,1628644434.171,-0.059298 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-5.808947 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:54.572Z,1628644434.572,-0.065350 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.736284 arcdeg,-6.291089 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:54.972Z,1628644434.972,-0.071457 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.224690 arcdeg,-6.775461 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:55.374Z,1628644435.374,-0.077703 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.224690 arcdeg,-7.212723 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:55.774Z,1628644435.774,-0.083681 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730769 arcdeg,4.224690 arcdeg,-7.642235 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:56.175Z,1628644436.175,-0.089262 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.240242 arcdeg,6.615366 arcdeg,-1.220397 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:56.577Z,1628644436.577,-0.094696 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.295085 arcdeg,5.856070 arcdeg,-1.271064 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:56.978Z,1628644436.978,-0.101295 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,6.946013 arcdeg,5.856070 arcdeg,-1.379263 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:57.379Z,1628644437.379,-0.109722 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.679276 arcdeg,5.856070 arcdeg,-1.554785 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:57.779Z,1628644437.779,-0.117771 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.876025 arcdeg,5.856070 arcdeg,-1.718141 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:58.180Z,1628644438.180,-0.125652 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.876025 arcdeg,5.856070 arcdeg,-1.881691 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:58.582Z,1628644438.582,-0.133041 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.876025 arcdeg,5.856070 arcdeg,-2.039715 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:58.983Z,1628644438.983,-0.139915 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.876025 arcdeg,5.856070 arcdeg,-2.194112 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:59.384Z,1628644439.384,-0.146263 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.876025 arcdeg,5.856070 arcdeg,-2.346465 arcdeg,8.999292 arcdeg,9.000000 arcdeg
2021-08-11T01:13:59.784Z,1628644439.784,-0.151966 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.876025 arcdeg,5.856070 arcdeg,-2.495266 arcdeg,8.999292 arcdeg,9.000000 arcdeg
