Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T01:04:01.430Z,1628643841.430,0.000000 m,nan,0.000000 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.702535 arcdeg,-0.055844 arcdeg,0.000000 arcdeg,9.000000 arcdeg
2021-08-11T01:04:06.555Z,1628643846.555,0.000000 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.042630 arcdeg,4.736728 arcdeg,-0.056658 arcdeg,0.042630 arcdeg,9.000000 arcdeg
2021-08-11T01:04:06.956Z,1628643846.956,-0.003961 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,3.019583 arcdeg,4.736728 arcdeg,-0.190878 arcdeg,3.019583 arcdeg,9.000000 arcdeg
2021-08-11T01:04:07.357Z,1628643847.357,-0.005650 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,4.736728 arcdeg,4.736728 arcdeg,-0.388784 arcdeg,6.027030 arcdeg,9.000000 arcdeg
2021-08-11T01:04:07.758Z,1628643847.758,-0.009379 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.619210 arcdeg,4.736728 arcdeg,-0.628861 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:08.159Z,1628643848.159,-0.014605 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-0.886957 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:08.560Z,1628643848.560,-0.020782 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-1.155138 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:08.961Z,1628643848.961,-0.027456 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-1.442093 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:09.362Z,1628643849.362,-0.034340 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-1.763571 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:09.763Z,1628643849.763,-0.041205 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-2.128845 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:10.164Z,1628643850.164,-0.048065 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-2.537214 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:10.565Z,1628643850.565,-0.054872 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-2.978977 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:10.966Z,1628643850.966,-0.061545 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-3.437786 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:11.367Z,1628643851.367,-0.068239 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-3.907526 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:11.768Z,1628643851.768,-0.074812 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-4.380528 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:12.169Z,1628643852.169,-0.081264 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-4.854227 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:12.570Z,1628643852.570,-0.087635 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-5.329650 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:12.971Z,1628643852.971,-0.093924 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-5.808542 arcdeg,9.000007 arcdeg,9.000000 arcdeg
2021-08-11T01:04:13.372Z,1628643853.372,-0.100042 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.730336 arcdeg,4.736728 arcdeg,-6.290224 arcdeg,9.000007 arcdeg,9.000000 arcdeg
