Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:12:39.620Z,1628647959.620,0.003770 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.322998 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,-0.000243 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:40.021Z,1628647960.021,0.004153 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.263397 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.001715 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:40.423Z,1628647960.423,0.004578 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.203796 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.004297 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:40.823Z,1628647960.823,0.005041 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.129303 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.007386 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:41.224Z,1628647961.224,0.005554 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.069702 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.010949 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:41.625Z,1628647961.625,0.006119 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.010071 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.014854 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:42.026Z,1628647962.026,0.006741 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.965393 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.018971 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:42.427Z,1628647962.427,0.007418 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.905792 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.023117 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:42.828Z,1628647962.828,0.008152 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.846161 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.027135 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:43.229Z,1628647963.229,0.008948 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.801483 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.030893 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:43.631Z,1628647963.631,0.009804 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.741852 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.034234 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:12:44.031Z,1628647964.031,0.010720 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.697174 cc,0.000000 m,0.000000 m,0.000054 arcdeg,0.000000 arcdeg,0.037044 arcdeg,0.000000 arcdeg,0.000000 arcdeg
