Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:14:16.300Z,1628648056.300,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:16.701Z,1628648056.701,0.000018 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.160931 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:17.102Z,1628648057.102,0.000138 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.312624 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:17.503Z,1628648057.503,0.000298 m,10.000000 m,-0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.507580 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:17.904Z,1628648057.904,0.000459 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.735089 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:18.305Z,1628648058.305,0.000620 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.991558 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:18.706Z,1628648058.706,0.000778 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-1.269601 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:19.107Z,1628648059.107,0.000938 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.963745 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-1.562737 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:19.508Z,1628648059.508,0.001097 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.948853 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-1.864120 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:19.909Z,1628648059.909,0.001256 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.919067 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-2.167663 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:20.310Z,1628648060.310,0.001418 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.889252 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-2.470261 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:20.711Z,1628648060.711,0.001582 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.859467 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-2.764540 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:21.112Z,1628648061.112,0.001753 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.829651 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-3.047300 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:21.513Z,1628648061.513,0.001931 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.784943 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-3.315022 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:21.914Z,1628648061.914,0.002117 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.740234 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-3.563453 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:22.315Z,1628648062.315,0.002320 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.680634 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-3.792896 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:22.716Z,1628648062.716,0.002534 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.635925 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-3.997232 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:23.117Z,1628648063.117,0.002768 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.576324 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-4.177079 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:23.518Z,1628648063.518,0.003022 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.516724 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-4.329578 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:23.919Z,1628648063.919,0.003303 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.472015 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-4.456246 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:24.320Z,1628648064.320,0.003612 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.397522 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-4.553405 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:24.721Z,1628648064.721,0.003954 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.337921 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.001888 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:25.122Z,1628648065.122,0.004330 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.278320 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.000038 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:25.523Z,1628648065.523,0.004749 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.218689 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.002671 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:25.924Z,1628648065.924,0.005208 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.159088 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.005899 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:26.325Z,1628648066.325,0.005715 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.099487 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.009647 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:26.726Z,1628648066.726,0.006271 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.039886 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.013776 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:27.127Z,1628648067.127,0.006883 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.980286 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.018154 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:27.528Z,1628648067.528,0.007544 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.920685 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.022551 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:27.929Z,1628648067.929,0.008265 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.861084 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.026862 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:28.330Z,1628648068.330,0.009049 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.816376 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.030911 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:28.731Z,1628648068.731,0.009887 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.756775 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.034507 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:29.132Z,1628648069.132,0.010798 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.712067 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.037589 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:29.533Z,1628648069.533,0.011759 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.667358 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.039970 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:29.934Z,1628648069.934,0.012789 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.622650 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.041643 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:30.335Z,1628648070.335,0.013885 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.577942 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.042553 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:30.736Z,1628648070.736,0.015039 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.548157 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.042703 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:31.137Z,1628648071.137,0.016263 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.503448 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.042135 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:31.538Z,1628648071.538,0.017538 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.473633 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.040936 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:31.939Z,1628648071.939,0.018878 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.443848 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.039203 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:32.340Z,1628648072.340,0.020267 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.414032 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.037092 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:32.741Z,1628648072.741,0.021716 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.384247 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.034740 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:33.142Z,1628648073.142,0.023213 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.369324 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.032325 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:33.543Z,1628648073.543,0.024780 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.339539 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.029981 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:33.944Z,1628648073.944,0.026371 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.309723 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.027929 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:34.346Z,1628648074.346,0.028020 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.294830 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.026264 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:34.746Z,1628648074.746,0.029704 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.265015 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.025130 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:35.147Z,1628648075.147,0.031432 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.250122 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.024607 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:35.548Z,1628648075.548,0.033195 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.220337 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.024758 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:35.949Z,1628648075.949,0.035009 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.205414 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.025610 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:36.350Z,1628648076.350,0.036848 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.175629 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.027139 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:36.751Z,1628648076.751,0.038726 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.160706 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.029301 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:37.154Z,1628648077.154,0.040747 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.145813 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.032189 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:37.564Z,1628648077.564,0.042724 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.130920 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.035415 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:37.974Z,1628648077.974,0.044829 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.116028 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.039090 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:38.384Z,1628648078.384,0.046965 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.101105 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.042861 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:38.795Z,1628648078.795,0.049078 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.071320 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.046432 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:39.204Z,1628648079.204,0.051012 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.011719 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.049412 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:39.614Z,1628648079.614,0.052966 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.967010 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.052029 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:40.024Z,1628648080.024,0.055149 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,497.922302 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.054400 arcdeg,0.000000 arcdeg,0.000000 arcdeg
