Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:13:34.478Z,1628648014.478,-0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:38.265Z,1628648018.265,-0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-2.307713 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:38.666Z,1628648018.666,-0.000000 m,10.000000 m,-0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-2.605811 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:39.067Z,1628648019.067,-0.000000 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-2.894858 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:39.468Z,1628648019.468,-0.000000 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.963745 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-3.169763 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:39.869Z,1628648019.869,-0.000000 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.948853 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-3.428376 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:40.270Z,1628648020.270,-0.000000 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.919067 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-3.668997 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:40.671Z,1628648020.671,0.000002 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.889252 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-3.886284 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:41.072Z,1628648021.072,0.000004 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.859467 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-4.079634 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:13:41.474Z,1628648021.474,0.000011 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.814758 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-4.247410 arcdeg,0.000000 arcdeg,0.000000 arcdeg
