Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:14:52.991Z,1628648092.991,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:53.391Z,1628648093.391,0.000020 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.160433 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:53.792Z,1628648093.792,0.000145 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.000000 arcdeg,-0.313195 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:54.194Z,1628648094.194,0.000311 m,10.000000 m,-0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-0.506415 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:54.594Z,1628648094.594,0.000477 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-0.735058 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:54.996Z,1628648094.996,0.000644 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-0.992224 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:55.397Z,1628648095.397,0.000809 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-1.270419 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:55.797Z,1628648095.797,0.000971 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.978668 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-1.563401 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:56.198Z,1628648096.198,0.001135 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.948853 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-1.863501 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:56.600Z,1628648096.600,0.001301 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.933960 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-2.168319 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:57.000Z,1628648097.000,0.001466 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.904144 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-2.469438 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:57.401Z,1628648097.401,0.001636 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.874359 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-2.762992 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:57.802Z,1628648097.802,0.001810 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.829651 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-3.045612 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:58.204Z,1628648098.204,0.001992 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.784943 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-3.314349 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:14:58.605Z,1628648098.605,0.002181 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.740234 cc,0.000000 m,0.000000 m,0.000061 arcdeg,0.000000 arcdeg,-3.563695 arcdeg,0.000000 arcdeg,0.000000 arcdeg
