Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T02:16:13.853Z,1628648173.853,0.003938 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.337921 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,-0.001767 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:14.255Z,1628648174.255,0.004320 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.278320 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.000195 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:14.656Z,1628648174.656,0.004735 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.218689 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.002798 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:15.056Z,1628648175.056,0.005194 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.159088 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.006019 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:15.457Z,1628648175.457,0.005703 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.099487 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.009765 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:15.859Z,1628648175.859,0.006264 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,499.039886 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.013911 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:16.260Z,1628648176.260,0.006871 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.980286 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.018227 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:16.661Z,1628648176.661,0.007536 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.920685 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.022623 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:17.062Z,1628648177.062,0.008260 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.861084 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.026920 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:17.463Z,1628648177.463,0.009041 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.801483 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.030922 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:17.864Z,1628648177.864,0.009884 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.756775 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.034510 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:18.265Z,1628648178.265,0.010787 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.712067 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.037537 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:18.666Z,1628648178.666,0.011758 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.667358 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.039921 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:19.066Z,1628648179.066,0.012788 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.622650 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.041570 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:19.467Z,1628648179.467,0.013879 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.577942 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.042465 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T02:16:19.868Z,1628648179.868,0.015036 m,10.000000 m,0.000000 rad/s,0.000000 rad/s,499.993561 cc,498.548157 cc,0.000000 m,0.000000 m,0.000059 arcdeg,0.000000 arcdeg,0.042609 arcdeg,0.000000 arcdeg,0.000000 arcdeg
