Timestamp,EpochSeconds,depth,VerticalControl.depthCmd,platform_propeller_rotation_rate,SpeedControl.propOmegaAction,platform_buoyancy_position,VerticalControl.buoyancyAction,platform_mass_position,VerticalControl.massPositionAction,platform_elevator_angle,VerticalControl.elevatorAngleAction,platform_pitch_angle,platform_rudder_angle,HorizontalControl.rudderAngleAction
2021-08-11T00:22:24.315Z,1628641344.315,0.000000 m,nan,0.000000 rad/s,0.000000 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,nan,-0.055844 arcdeg,0.000000 arcdeg,0.000000 arcdeg
2021-08-11T00:22:24.716Z,1628641344.716,0.000018 m,nan,0.000000 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.000000 arcdeg,0.671893 arcdeg,-0.160865 arcdeg,0.000000 arcdeg,9.000000 arcdeg
2021-08-11T00:22:25.117Z,1628641345.117,0.000138 m,nan,31.415527 rad/s,31.415527 rad/s,nan,499.993561 cc,0.000000 m,0.000000 m,0.671893 arcdeg,4.965928 arcdeg,-0.335833 arcdeg,3.005573 arcdeg,9.000000 arcdeg
2021-08-11T00:22:25.518Z,1628641345.518,0.000298 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,0.890528 arcdeg,4.965928 arcdeg,-0.541969 arcdeg,9.014502 arcdeg,9.000000 arcdeg
2021-08-11T00:22:25.919Z,1628641345.919,0.000445 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,5.523337 arcdeg,4.965928 arcdeg,-0.789112 arcdeg,9.014502 arcdeg,9.000000 arcdeg
2021-08-11T00:22:26.320Z,1628641346.320,0.000534 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.846147 arcdeg,4.965928 arcdeg,-1.053252 arcdeg,9.014502 arcdeg,9.000000 arcdeg
2021-08-11T00:22:26.721Z,1628641346.721,0.000510 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958588 arcdeg,4.965928 arcdeg,-1.327552 arcdeg,9.014502 arcdeg,9.000000 arcdeg
2021-08-11T00:22:27.122Z,1628641347.122,0.000289 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958588 arcdeg,4.965928 arcdeg,-1.620189 arcdeg,9.014502 arcdeg,9.000000 arcdeg
2021-08-11T00:22:27.523Z,1628641347.523,-0.000225 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958588 arcdeg,4.965928 arcdeg,-1.948132 arcdeg,9.014502 arcdeg,9.000000 arcdeg
2021-08-11T00:22:27.924Z,1628641347.924,-0.001148 m,nan,31.415527 rad/s,31.415527 rad/s,499.993561 cc,499.993561 cc,0.000000 m,0.000000 m,4.958588 arcdeg,4.965928 arcdeg,-2.323024 arcdeg,9.014502 arcdeg,9.000000 arcdeg
